config,BL_s0,BL_s1,BL_s2,BL_s7,BL_s42,HD_s0,HD_s1,HD_s2,HD_s7,HD_s42,BL_mean,HD_mean,BL_std,HD_std,delta_pct,hd_seed_wins,dataset_name,term,ds_base
bizitobs_l2c/H/long,1.1592927335902918,0.8813153379514937,1.0269419066110106,1.256392281172151,1.2079906766425446,1.0002789708908035,1.1089687521886784,0.963100135532028,1.1288923220591696,0.9975417971828198,1.1063865871934984,1.0397563955706999,0.15214523000537677,0.07408151807147227,6.0223246010072415,4,bizitobs_l2c/H,long,bizitobs_l2c
m4_yearly/short,4.155805989958166,4.401697728041032,4.40149126296732,4.514175425141516,4.45549034915897,4.325744761896601,3.906222182743375,4.133452654851291,4.076418725245652,4.191493239526778,4.385732151053402,4.126666312852739,0.13668684069275444,0.15411136257057603,5.907014593639461,4,m4_yearly,short,m4_yearly
m4_weekly/short,2.62135407912067,2.5824846733819933,2.659315577294736,2.6554723937108697,2.674206494236922,2.4812517506494234,2.462729198201856,2.618158196557494,2.493182342551896,2.381576942803005,2.638566643549038,2.487379686152735,0.03683741762525673,0.08511185031335593,5.729889664372745,5,m4_weekly,short,m4_weekly
electricity/15T/long,1.1856871270903682,1.1547915733265703,1.1325783216421486,1.1472160023845586,1.16357886165151,1.095710989094467,1.086264961100248,1.0940958483025989,1.0782986131268335,1.098333282911576,1.1567703772190314,1.0905407389071446,0.01976734162543216,0.008189107877984337,5.725391972009875,5,electricity/15T,long,electricity
SZ_TAXI/15T/long,0.5741580922070475,0.5549031347306248,0.601222438287508,0.574099227609624,0.5941656701841865,0.5432942921059158,0.534881393457901,0.5612912795421352,0.5728091043978633,0.5231853371571595,0.5797097126037982,0.547092281332195,0.018367337943927954,0.019987740138560858,5.626511090369733,5,SZ_TAXI/15T,long,SZ_TAXI
jena_weather/H/long,1.1366886774140652,1.094941380503158,1.1376981463042448,1.10514450094762,1.2525691651977289,1.0651316591001914,1.056865632350373,1.161773427854623,1.1195994247833057,1.0213631813953274,1.1454083740733634,1.084946665096764,0.06282318997707546,0.055513970070840066,5.278615936915329,3,jena_weather/H,long,jena_weather
SZ_TAXI/15T/medium,0.5995993769945032,0.5820436058373482,0.6127269076422858,0.5842183699713132,0.6061879745816741,0.5639268069002921,0.5611911745667497,0.5708329614783902,0.5814752920210997,0.55436192527601,0.5969552470054248,0.5663576320485084,0.0134681572611869,0.010308617649042968,5.125612868034364,5,SZ_TAXI/15T,medium,SZ_TAXI
bizitobs_application/medium,6.485441916722878,5.888426739264808,6.759175841206373,7.341662363490932,5.768810966132487,5.3065259063906,7.0556583210634605,6.4446235254597575,5.495321003491191,6.318522420302739,6.448703565363495,6.12413023534155,0.6463904052569879,0.7197441791798455,5.03315630393145,3,bizitobs_application,medium,bizitobs_application
ett2/15T/medium,1.0668200685044662,1.01203199360047,1.0139898263053186,1.0507245104459546,1.018717724815391,0.9789356658434764,0.993640511086888,1.0170023885805477,0.9326753657485778,0.9900006476127065,1.0324568247343202,0.9824509157744392,0.02480679084480142,0.031088471052833813,4.843389840805101,4,ett2/15T,medium,ett2
ett2/15T/short,0.9065645155291908,0.8579016484773634,0.8284262891787362,0.8420271305164067,0.8295487886025371,0.7940835395353749,0.8029963902743319,0.8402612096443869,0.807842197872313,0.8215323455792696,0.8528936744608467,0.8133431365811352,0.03227753630743349,0.018027016985862534,4.637217869473968,4,ett2/15T,short,ett2
electricity/W/short,1.9127272458540523,1.9194347921208377,2.0677931563723138,2.0607829258660835,2.1539217286159604,1.8736331118971343,1.9110726455631848,2.0310601061733964,1.867371111975063,1.9684794503217664,2.0229319697658497,1.930323285186109,0.10423565227168036,0.0691938202188309,4.577943596909982,5,electricity/W,short,electricity
electricity/H/long,1.3447515274604431,1.4021083779967836,1.3845826029779076,1.3660951048140837,1.3857435196148555,1.2791437780169794,1.2699305516956445,1.3296099917346398,1.3540625252303669,1.339653642791755,1.3766562265728148,1.314480097893877,0.02192410470298321,0.03762548063851678,4.516460063070734,5,electricity/H,long,electricity
