series_idx,dataset_idx,dataset,seasonality,oracle_method,raw_MASE,A1_d2_MASE,A1_d4_MASE,A1_d6_MASE,oracle_MASE
26810,0,m4_monthly,12,raw,1.986832315665938,2.1587489803428106,2.6599117141892297,2.5922401462262163,1.986832315665938
26811,0,m4_monthly,12,raw,1.1491884676632365,1.5219798744933148,1.400137533444038,1.5125143057167694,1.1491884676632365
26812,0,m4_monthly,12,A1_d6,0.6451416604234758,0.8691901651388922,0.5068733180408495,0.462541986248556,0.462541986248556
26813,0,m4_monthly,12,raw,1.1215169547498551,1.2633953461586411,1.3105828302715068,1.3051087658272775,1.1215169547498551
26814,0,m4_monthly,12,raw,0.23653586691366466,0.3436272064578482,0.36652581944316587,0.3981044651562313,0.23653586691366466
26815,0,m4_monthly,12,A1_d4,0.6448397162067077,0.620835683330852,0.5001589051079397,0.663498977050256,0.5001589051079397
26816,0,m4_monthly,12,A1_d6,1.4409109265579476,1.3164971896115816,1.2728506273009872,1.2407681307063314,1.2407681307063314
26817,0,m4_monthly,12,A1_d2,0.1444268004643777,0.08511643524120338,0.1328306642355402,0.17499440936686564,0.08511643524120338
26818,0,m4_monthly,12,raw,2.009483839064661,2.5835993966172976,2.4431793819035117,3.4502346219964863,2.009483839064661
26819,0,m4_monthly,12,A1_d2,3.912453735064283,3.9040612096187135,4.664793009958415,4.541825085263353,3.9040612096187135
26820,0,m4_monthly,12,A1_d2,0.730208856782758,0.550988031430573,0.6204309135140939,0.7499896977803672,0.550988031430573
26821,0,m4_monthly,12,A1_d4,1.513041230384293,1.7305002211748504,1.4487299807814353,1.5149971120241348,1.4487299807814353
26822,0,m4_monthly,12,raw,1.4073104151741076,1.4883486984674787,1.808237182220852,1.5642123522508444,1.4073104151741076
26823,0,m4_monthly,12,A1_d4,1.2132675105032877,1.2221938117409803,1.1183973248351633,1.1768210376411385,1.1183973248351633
26824,0,m4_monthly,12,A1_d4,0.7512482116771886,0.70478954859505,0.6492914187298523,0.7693771196622581,0.6492914187298523
26825,0,m4_monthly,12,A1_d6,0.31759046364596083,0.32809073674842526,0.31566084279057266,0.28698504840958555,0.28698504840958555
26826,0,m4_monthly,12,raw,0.18312850313766707,0.2192471965970015,0.3162806917034369,0.24120498376841762,0.18312850313766707
26827,0,m4_monthly,12,A1_d2,0.18834771291436353,0.15224504016037496,0.16582290146502007,0.17929205656389252,0.15224504016037496
26828,0,m4_monthly,12,A1_d6,1.106346264156668,1.4669998409175975,1.1990455791609027,1.1043503305694198,1.1043503305694198
26829,0,m4_monthly,12,A1_d4,2.926969803335691,3.1544560470575234,2.9212883930395295,3.281871075869455,2.9212883930395295
26830,0,m4_monthly,12,A1_d6,1.0907056451958608,1.2479631300877518,0.8775953234978718,0.7643011276943767,0.7643011276943767
26831,0,m4_monthly,12,A1_d2,0.6679702567291053,0.6529101210710824,0.7076427007795729,0.7858321395538016,0.6529101210710824
26832,0,m4_monthly,12,A1_d4,0.7970902993827278,1.0043895846739594,0.5317845428751068,0.7268377322327163,0.5317845428751068
26833,0,m4_monthly,12,raw,0.6532194245474281,0.8137761132989486,1.0830668201158862,0.7864067091500477,0.6532194245474281
26834,0,m4_monthly,12,A1_d2,0.920056617048166,0.7963459630768832,0.9590183573968114,0.9093622985683333,0.7963459630768832
26835,0,m4_monthly,12,A1_d4,1.2945574242814168,1.2315101491555325,1.0579450375804051,1.3641542277552212,1.0579450375804051
26836,0,m4_monthly,12,A1_d2,0.8100518431354576,0.5862258169298935,0.7161671527078363,0.7306310799889937,0.5862258169298935
26837,0,m4_monthly,12,raw,0.2672618041714229,0.35030889018858863,0.31218879269597477,0.33602591703681817,0.2672618041714229
26838,0,m4_monthly,12,raw,0.7520787112740187,1.0792655599838425,0.9119396508376242,0.8702505267272403,0.7520787112740187
26839,0,m4_monthly,12,A1_d4,4.3521567708490325,3.933175492856308,3.86469637513292,4.048667786379169,3.86469637513292
26840,0,m4_monthly,12,raw,3.4086453436646797,3.690757651423085,3.411064672802238,3.970549378171996,3.4086453436646797
26841,0,m4_monthly,12,A1_d4,3.9157160478452258,3.4796417483981203,3.395643956923021,3.5984696516246877,3.395643956923021
26842,0,m4_monthly,12,A1_d4,1.6248863322814049,1.476589827622464,1.4346748039888282,1.6021193326185608,1.4346748039888282
26843,0,m4_monthly,12,A1_d4,1.4176933320621277,1.52374375861125,1.2290267846065286,1.9311228459348955,1.2290267846065286
26844,0,m4_monthly,12,A1_d6,0.8347372261658723,0.8069426214219971,0.9071328633875637,0.7057779547599484,0.7057779547599484
26845,0,m4_monthly,12,A1_d6,0.6614960517111718,0.6989307691937031,0.8482727250145933,0.6266754938423553,0.6266754938423553
26846,0,m4_monthly,12,raw,2.672580764719002,2.764471190196994,3.019664642097955,2.95604240797739,2.672580764719002
26847,0,m4_monthly,12,A1_d4,1.2468034687778278,1.175938976476075,1.1008665215886748,1.1573015180038542,1.1008665215886748
26848,0,m4_monthly,12,A1_d2,1.6044794667088944,1.376404380337819,1.681951904262033,1.8090452033779287,1.376404380337819
26849,0,m4_monthly,12,A1_d6,0.18880611807673275,0.18205649837325127,0.15802840379477043,0.12716707560585935,0.12716707560585935
26850,0,m4_monthly,12,raw,0.2145250758380733,0.22339980444914267,0.34665664721723294,0.2931728538278836,0.2145250758380733
26851,0,m4_monthly,12,raw,0.17975855408078611,0.2265317104068957,0.29077874306218954,0.2691160921679458,0.17975855408078611
26852,0,m4_monthly,12,raw,0.8791152206612487,1.424381149765754,1.1491650443276686,1.1166679122739656,0.8791152206612487
26853,0,m4_monthly,12,A1_d2,0.5768044643489301,0.4318783918753811,0.514349586584821,0.6104918198952625,0.4318783918753811
26854,0,m4_monthly,12,raw,0.39843735105948536,0.4927649222180223,0.5074112800101027,0.500129331432055,0.39843735105948536
26855,0,m4_monthly,12,A1_d2,0.7085558490875069,0.4477925921400323,0.561039754661729,0.6972664103555827,0.4477925921400323
26856,0,m4_monthly,12,A1_d4,0.4438860355204448,0.4525078208653332,0.4094387041664522,0.5076628615026071,0.4094387041664522
26857,0,m4_monthly,12,A1_d2,0.3430890209249753,0.320793021512173,0.3307489479968907,0.36108906047237616,0.320793021512173
26858,0,m4_monthly,12,raw,0.41654381885887765,0.5087231702339551,0.45332365161552346,0.5095135374264411,0.41654381885887765
26859,0,m4_monthly,12,raw,0.5739147248399723,0.649361345498023,0.6432918370624032,0.6050222184787419,0.5739147248399723
