dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
bitbrains_rnd/H/short,bl_official_s0_100k,5.922807836420648,144.71287722177232,1709997.834704403,0.5680456714987314
bizitobs_application/10S/short,bl_official_s0_100k,3.235487288052118,1011.753125,5331632.355555556,0.032188525568781406
bizitobs_application/10S/medium,bl_official_s0_100k,7.860750719914587,2339.7566666666667,22062269.44,0.08555265417596937
bizitobs_application/10S/long,bl_official_s0_100k,9.050067994126694,2660.7272222222223,22327607.751111113,0.09291660375200256
bizitobs_l2c/5T/short,bl_official_s0_100k,0.3166660644581989,3.094074939546131,26.362927827380954,0.08515082440554597
bizitobs_l2c/5T/medium,bl_official_s0_100k,0.925151145090384,9.48199006164966,226.13005952380954,0.43540011925839606
bizitobs_l2c/5T/long,bl_official_s0_100k,1.1765723366559055,11.865669642857142,282.66563492063494,0.6016566049217685
bizitobs_l2c/H/short,bl_official_s0_100k,0.7787585340304591,8.121488056485616,155.55594308035714,0.32762098559580605
bizitobs_l2c/H/medium,bl_official_s0_100k,0.991349117796206,9.96713634672619,190.91212797619048,0.47725046656428827
bizitobs_l2c/H/long,bl_official_s0_100k,1.0920651874316198,10.790347532242064,205.41218998015873,0.5338423310110838
bizitobs_service/10S/short,bl_official_s0_100k,1.836479194323776,46.635460482804234,27102.824126984127,0.027888322028849118
bizitobs_service/10S/medium,bl_official_s0_100k,4.598104752026875,133.73515873015873,183036.01777777777,0.09157430067543797
bizitobs_service/10S/long,bl_official_s0_100k,4.799824427023373,152.52478835978835,209911.68338624339,0.1037280654750337
car_parts/M/short,bl_official_s0_100k,0.8518386287502885,0.467801979564648,1.3578020807628346,0.9736510861493888
covid_deaths/D/short,bl_official_s0_100k,43.600138364181156,213.7938753132832,1740219.9899749374,0.06604991943157018
electricity/15T/short,bl_official_s0_100k,1.3498498664947391,69.19825943130631,183949.22506193694,0.11162842348119859
electricity/15T/medium,bl_official_s0_100k,1.21926210700147,72.09345734797297,361397.2000945946,0.10190108151505231
electricity/15T/long,bl_official_s0_100k,1.2693744334842278,77.22486467717718,433527.77555555553,0.0999157250508307
electricity/D/short,bl_official_s0_100k,1.5224597602956513,4683.651117117117,1560999038.1272793,0.060347021920660465
electricity/H/short,bl_official_s0_100k,1.0403138464015382,198.284027660473,1955062.607927928,0.07664753322840318
electricity/H/medium,bl_official_s0_100k,1.3339121840003645,307.8046002252252,8020874.338738739,0.09934812317203193
electricity/H/long,bl_official_s0_100k,1.5964621820027451,388.8039099099099,15244734.886822823,0.13015140477815093
electricity/W/short,bl_official_s0_100k,1.8300933608150884,36911.813513513516,70141660660.0072,0.0651290157530556
ett1/15T/short,bl_official_s0_100k,0.774914882493995,1.1428294590541295,4.647586495535714,0.16911160381142784
ett1/15T/medium,bl_official_s0_100k,1.187447430099684,1.7658592199900793,10.773448660714285,0.2809418429061592
ett1/15T/long,bl_official_s0_100k,1.222039566076802,1.7704620845734127,10.138912450396825,0.284052180217216
ett1/D/short,bl_official_s0_100k,1.7644076598125875,134.24781746031746,40217.171428571426,0.27800522760587976
ett1/H/short,bl_official_s0_100k,0.8672712169112363,5.1483334495907735,107.2139880952381,0.1922586292799805
ett1/H/medium,bl_official_s0_100k,1.2915819283115784,7.181735956101191,161.8919642857143,0.27885542384859197
ett1/H/long,bl_official_s0_100k,1.47314556078699,7.8491650132275135,181.85026455026454,0.31019218643524316
ett1/W/short,bl_official_s0_100k,1.5197519401316213,844.2585100446429,1123509.2857142857,0.24793297915862722
ett2/15T/short,bl_official_s0_100k,0.8911544584485547,2.033804902576265,9.680052548363095,0.0753998351595022
ett2/15T/medium,bl_official_s0_100k,1.1274445152788746,2.7793768601190476,20.61326140873016,0.12213819727000155
ett2/15T/long,bl_official_s0_100k,1.1119179656756775,2.6474314856150793,17.870797371031745,0.11751128466208899
ett2/D/short,bl_official_s0_100k,1.4537340663027645,206.45159970238095,107768.36825396825,0.09645358781098214
ett2/H/short,bl_official_s0_100k,0.784874096098246,6.803960890997024,119.3132068452381,0.06851036432567288
ett2/H/medium,bl_official_s0_100k,1.0996562071290479,9.902283296130953,244.9286644345238,0.1097008638834176
ett2/H/long,bl_official_s0_100k,1.2476865729218967,11.016136532738095,284.3338624338624,0.1256515278485354
ett2/W/short,bl_official_s0_100k,1.0462599509631711,1488.1922433035713,4212808.571428572,0.10266126281158326
hierarchical_sales/D/short,bl_official_s0_100k,0.7496893331622096,2.313977721940885,29.420846682513435,0.5786611520334292
hierarchical_sales/W/short,bl_official_s0_100k,0.7837139375897857,9.464547884666313,498.73132944915255,0.364873193192709
hospital/M/short,bl_official_s0_100k,0.7692558546068211,18.609525240384617,3174.4932637983484,0.05361317192139116
jena_weather/10T/short,bl_official_s0_100k,0.32847107673202913,5.553641958085318,760.316121031746,0.028022591517523534
jena_weather/10T/medium,bl_official_s0_100k,0.6663972794810382,9.823628021284271,1463.2362193362194,0.051232364782142346
jena_weather/10T/long,bl_official_s0_100k,0.7663282742341871,10.37803302744709,1480.9272486772486,0.055294601828887624
