dataset,term,prediction_length,raw_MASE,A2_d2_MASE,A2_d3_MASE,A2_d4_MASE,A2_d5_MASE,A2_d6_MASE,A2_d7_MASE,A2_d8_MASE,A2_uniform_MASE,A2_invvar_MASE,A2_qpool_MASE
solar/10T,long,720,2.9202825131536816,3.5768381311699122,3.9151885171436085,4.024365391206159,4.040742966135498,4.0397119354205735,4.036168151357716,4.0289313235758994,3.815206305894634,3.489890932923588,3.906341251975585
solar/D,short,30,1.0987273545858531,1.890220590680869,2.570024912887189,2.992187070145129,3.1722281498634732,3.2139195401189897,3.162526667001156,3.0888617798686155,2.5204389716186846,1.8406897413286776,2.877605470610806
solar/H,short,48,1.1873484868705046,1.8908602175070497,2.4328676958509456,2.672375933208299,2.736197181930801,2.7170130414165965,2.654487030818929,2.547471577158188,2.2508751414287325,1.6453496361402387,2.4146893633208526
solar/H,medium,480,1.1261748269461926,1.7516455087840355,2.275304884085997,2.5759029103640407,2.7719637313596017,2.898413241497264,2.9797670923215813,2.9967787837707482,2.271961068376877,1.6151459887712094,2.5035287436441154
solar/H,long,720,1.257071173960802,2.0472849841735115,2.579777836189652,2.9296333962366963,3.174777431158084,3.3031338758399973,3.3815209614250628,3.283991447634638,2.6439134237650332,1.9390107579051596,2.854624386617255
solar/W,short,8,1.0013563503312843,2.3089174955948826,3.7518643708280033,4.187428404220393,4.236342718197976,4.142641461023346,3.610342626196847,2.777742996852802,3.0508416294066825,1.3849772693166855,3.5763821980904256
jena_weather/10T,short,48,0.5808893424701085,8.986119793416973,13.296598093588392,15.44828272133608,16.520408125864996,17.052463498046762,17.31655740447142,17.458830580355958,13.301147153174004,8.61794082808226,15.973246057627717
jena_weather/10T,medium,480,1.5698907866472798,15.530748834431341,22.84604337995929,26.490356864139788,28.31318293075067,29.192904071302365,29.6339976514815,29.791852146703906,22.827643133569605,15.589720878935593,27.344238152121044
jena_weather/10T,long,720,1.3473083750211867,15.453174304347092,22.924195039931327,26.648927186615644,28.515271062567596,29.40727349687559,29.884689710046253,30.04301776061652,22.913334116134397,15.821956915493724,27.519850655040933
jena_weather/D,short,30,1.2582573497042475,13.788279014350302,20.648033868253076,24.064051544265936,25.754466331270937,26.595902301398922,27.043418326612368,27.31610193884041,20.64587756453351,13.304118055649356,24.827669333733905
jena_weather/H,short,48,0.8735863277507515,12.6673629059484,18.820421256956482,21.888587521142327,23.41565654256506,24.163910415429914,24.51171999314135,24.703076904177856,18.803624635233838,12.467037965380326,22.59215053499583
jena_weather/H,medium,480,1.1462761245117667,12.509060077301296,18.576203646145228,21.623462152783265,23.179052092701177,23.984014947124678,24.409824609177047,24.57115486773077,18.620325979736393,11.404621073722158,22.33031780071541
jena_weather/H,long,720,1.340386584903832,13.427931599383422,20.063179879638444,23.383599218412705,25.06868457203851,25.909707354902874,26.31026828855667,26.403005062339616,20.05842316372016,11.214740590640659,24.137999948653846
kdd_cup_2018_with_missing/D,short,30,,,,,,,,,,,
kdd_cup_2018_with_missing/H,short,48,,,,,,,,,,,
kdd_cup_2018_with_missing/H,medium,480,,,,,,,,,,,
kdd_cup_2018_with_missing/H,long,720,,,,,,,,,,,
temperature_rain_with_missing,short,30,,,,,,,,,,,
saugeenday/D,short,30,2.9742523471875133,4.011895506641855,5.024727703016041,5.535653379818803,5.663923717655261,5.6495323871986995,5.4865531079863725,5.353092825552717,4.822500533494497,3.943234524576043,5.225913078855561
saugeenday/M,short,12,0.9008512393368083,1.1511601750845022,1.3391773406012173,1.38291082585137,1.3692352027628536,1.3592220734651743,1.39518521379347,1.4063604839911459,1.2550953670195066,1.0160261183728212,1.3058859692915352
saugeenday/W,short,8,1.3619882126405316,1.7885360153684708,2.1839832692510446,2.28722401287393,2.2989121601064966,2.3037350529523657,2.239464057104105,2.2278597717482347,2.032906577111235,1.7570785589905722,2.1695040622236488
us_births/D,short,30,0.6277176134864935,5.9755543557169535,9.019532413701352,10.515503237588089,11.326450454003055,11.795017928639387,12.092780909101327,12.236469927781451,9.110470339323843,5.484856078802958,10.793394324447785
us_births/M,short,12,1.2717797631549672,18.209921256862685,27.25344743290801,31.68455702761102,33.93739851851469,35.10455372605379,35.49013264216151,35.604294810772785,27.18446612608289,17.517453559151598,32.81097777306285
us_births/W,short,8,1.5233696772965586,33.48390001235398,50.1145854056631,58.32153092675306,62.46181500165405,64.54951929453934,65.51357308049167,66.12388413793924,50.10365341775422,36.91838036073279,60.391672964203565
LOOP_SEATTLE/5T,short,48,0.8673774739219478,7.172520734783131,10.755098646175668,12.576859002250446,13.479955889551967,13.901500748311436,14.061281798136044,14.205610995942873,10.750499326161462,6.46914184363544,13.001628884681908
