dataset,term,frequency,config_name,prediction_length,eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/MASE[0.5],eval_metrics/sMAPE[0.5],MAE,MSE,MASE,SMAPE,error
kdd_cup_2018_with_missing/D,short,D,kdd_cup_2018_with_missing/D/D/short,30.0,21.65055858024345,3001.534035985604,1.229682947473715,0.48472448062996326,21.65055858024345,3001.534035985604,1.229682947473715,0.48472448062996326,
kdd_cup_2018_with_missing/H,short,H,kdd_cup_2018_with_missing/H/H/short,48.0,22.524053571742,4567.523902664847,0.9382421693020411,0.4952106069341008,22.524053571742,4567.523902664847,0.9382421693020411,0.4952106069341008,
kdd_cup_2018_with_missing/H,medium,?,kdd_cup_2018_with_missing/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
kdd_cup_2018_with_missing/H,long,?,kdd_cup_2018_with_missing/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
temperature_rain_with_missing,short,D,temperature_rain_with_missing/D/short,30.0,5.953260209712785,183.87636108094267,1.415233584031285,1.4972523450246429,5.953260209712785,183.87636108094267,1.415233584031285,1.4972523450246429,
saugeenday/D,short,D,saugeenday/D/D/short,30.0,13.034310709635417,1015.7966666666666,2.894924336366007,0.3626597110421585,13.034310709635417,1015.7966666666666,2.894924336366007,0.3626597110421585,
saugeenday/M,short,M,saugeenday/M/M/short,12.0,12.922850109281994,455.8608165922619,0.7569685805860049,0.379746889648806,12.922850109281994,455.8608165922619,0.7569685805860049,0.379746889648806,
saugeenday/W,short,W-THU,saugeenday/W/W-THU/short,8.0,17.6697998046875,1480.5494140625,1.433430397124535,0.4530155833665194,17.6697998046875,1480.5494140625,1.433430397124535,0.4530155833665194,
us_births/D,short,D,us_births/D/D/short,30.0,401.6983333333333,298148.0266666667,0.5912980081409499,0.03781701241281231,401.6983333333333,298148.0266666667,0.5912980081409499,0.03781701241281231,
us_births/M,short,M,us_births/M/M/short,12.0,14775.645833333334,274043669.3333333,1.6735960892670547,0.046802981112997986,14775.645833333334,274043669.3333333,1.6735960892670547,0.046802981112997986,
us_births/W,short,W-TUE,us_births/W/W-TUE/short,8.0,1995.050083705357,6982772.571428572,1.8123499396311107,0.026951643619161803,1995.050083705357,6982772.571428572,1.8123499396311107,0.026951643619161803,
LOOP_SEATTLE/5T,short,5T,LOOP_SEATTLE/5T/5T/short,48.0,3.973981486065592,44.69690876144866,0.6279170142721487,0.08287477619526884,3.973981486065592,44.69690876144866,0.6279170142721487,0.08287477619526884,
LOOP_SEATTLE/5T,medium,?,LOOP_SEATTLE/5T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
LOOP_SEATTLE/5T,long,?,LOOP_SEATTLE/5T/?/long,,,,,,,,,,too many values to unpack (expected 3)
LOOP_SEATTLE/D,short,D,LOOP_SEATTLE/D/D/short,30.0,3.0701905115716106,18.965586753821594,0.9246056018157857,0.056513262201112,3.0701905115716106,18.965586753821594,0.9246056018157857,0.056513262201112,
LOOP_SEATTLE/H,short,H,LOOP_SEATTLE/H/H/short,48.0,4.789223896234015,67.52345641622408,0.9756541513678679,0.10784019545765658,4.789223896234015,67.52345641622408,0.9756541513678679,0.10784019545765658,
LOOP_SEATTLE/H,medium,?,LOOP_SEATTLE/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
LOOP_SEATTLE/H,long,?,LOOP_SEATTLE/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
SZ_TAXI/15T,short,15T,SZ_TAXI/15T/15T/short,48.0,2.889407158480168,18.22057915898324,0.5788960362068927,0.41387199688115756,2.889407158480168,18.22057915898324,0.5788960362068927,0.41387199688115756,
SZ_TAXI/15T,medium,?,SZ_TAXI/15T/?/medium,,,,,,,,,,too many values to unpack (expected 3)
SZ_TAXI/15T,long,?,SZ_TAXI/15T/?/long,,,,,,,,,,too many values to unpack (expected 3)
SZ_TAXI/H,short,H,SZ_TAXI/H/H/short,48.0,1.907004657973591,7.606216300247062,0.5822915081641757,0.3032364004379333,1.907004657973591,7.606216300247062,0.5822915081641757,0.3032364004379333,
m4_daily,short,D,m4_daily/D/short,14.0,316.6095210107641,539657.2944506404,5.735097122718254,0.04986107777939342,316.6095210107641,539657.2944506404,5.735097122718254,0.04986107777939342,
m4_hourly,short,H,m4_hourly/H/short,48.0,284.92054634278526,1934506.667550362,1.3631810079294677,0.11565560437257215,284.92054634278526,1934506.667550362,1.3631810079294677,0.11565560437257215,
m4_monthly,short,M,m4_monthly/M/short,18.0,669.9667864583333,2303984.2017986113,1.1948950062821482,0.15688697453085956,669.9667864583333,2303984.2017986113,1.1948950062821482,0.15688697453085956,
m4_quarterly,short,Q-DEC,m4_quarterly/Q-DEC/short,8.0,720.1179435221354,2401234.4174375,1.6791549630475069,0.13002030577625223,720.1179435221354,2401234.4174375,1.6791549630475069,0.13002030577625223,
m4_weekly,short,W-SUN,m4_weekly/W-SUN/short,13.0,429.61489246303836,565164.1191343475,4.970542450645622,0.10798411862116833,429.61489246303836,565164.1191343475,4.970542450645622,0.10798411862116833,
m4_yearly,short,A-DEC,m4_yearly/A-DEC/short,6.0,1315.0871330317243,6270640.587998027,5.165208222288046,0.21896263110810676,1315.0871330317243,6270640.587998027,5.165208222288046,0.21896263110810676,
M_DENSE/D,short,D,M_DENSE/D/D/short,30.0,51.93511863425926,10188.169259259259,0.7553012163665034,0.10937693134437912,51.93511863425926,10188.169259259259,0.7553012163665034,0.10937693134437912,
M_DENSE/H,short,H,M_DENSE/H/H/short,48.0,97.65788845486111,46047.53166666667,0.8489576313271854,0.23399970078904567,97.65788845486111,46047.53166666667,0.8489576313271854,0.23399970078904567,
M_DENSE/H,medium,?,M_DENSE/H/?/medium,,,,,,,,,,too many values to unpack (expected 3)
M_DENSE/H,long,?,M_DENSE/H/?/long,,,,,,,,,,too many values to unpack (expected 3)
