dataset,term,frequency,config_name,error
bizitobs_service,long,?,bizitobs_service/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
car_parts_with_missing,short,?,car_parts_with_missing/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
hierarchical_sales/D,short,?,hierarchical_sales/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
hierarchical_sales/W,short,?,hierarchical_sales/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
restaurant,short,?,restaurant/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
covid_deaths,short,?,covid_deaths/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
hospital,short,?,hospital/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/15T,short,?,electricity/15T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/15T,medium,?,electricity/15T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/15T,long,?,electricity/15T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/D,short,?,electricity/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/H,short,?,electricity/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/H,medium,?,electricity/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/H,long,?,electricity/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
electricity/W,short,?,electricity/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/15T,short,?,ett1/15T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/15T,medium,?,ett1/15T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/15T,long,?,ett1/15T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/D,short,?,ett1/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/H,short,?,ett1/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/H,medium,?,ett1/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/H,long,?,ett1/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett1/W,short,?,ett1/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/15T,short,?,ett2/15T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/15T,medium,?,ett2/15T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/15T,long,?,ett2/15T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/D,short,?,ett2/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/H,short,?,ett2/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/H,medium,?,ett2/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/H,long,?,ett2/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
ett2/W,short,?,ett2/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/10T,short,?,solar/10T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/10T,medium,?,solar/10T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/10T,long,?,solar/10T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/D,short,?,solar/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/H,short,?,solar/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/H,medium,?,solar/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/H,long,?,solar/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
solar/W,short,?,solar/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/10T,short,?,jena_weather/10T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/10T,medium,?,jena_weather/10T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/10T,long,?,jena_weather/10T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/D,short,?,jena_weather/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/H,short,?,jena_weather/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/H,medium,?,jena_weather/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
jena_weather/H,long,?,jena_weather/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
kdd_cup_2018_with_missing/D,short,?,kdd_cup_2018_with_missing/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
kdd_cup_2018_with_missing/H,short,?,kdd_cup_2018_with_missing/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
kdd_cup_2018_with_missing/H,medium,?,kdd_cup_2018_with_missing/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
kdd_cup_2018_with_missing/H,long,?,kdd_cup_2018_with_missing/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
temperature_rain_with_missing,short,?,temperature_rain_with_missing/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
saugeenday/D,short,?,saugeenday/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
saugeenday/M,short,?,saugeenday/M/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
saugeenday/W,short,?,saugeenday/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
us_births/D,short,?,us_births/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
us_births/M,short,?,us_births/M/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
us_births/W,short,?,us_births/W/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/5T,short,?,LOOP_SEATTLE/5T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/5T,medium,?,LOOP_SEATTLE/5T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/5T,long,?,LOOP_SEATTLE/5T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/D,short,?,LOOP_SEATTLE/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/H,short,?,LOOP_SEATTLE/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/H,medium,?,LOOP_SEATTLE/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
LOOP_SEATTLE/H,long,?,LOOP_SEATTLE/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
SZ_TAXI/15T,short,?,SZ_TAXI/15T/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
SZ_TAXI/15T,medium,?,SZ_TAXI/15T/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
SZ_TAXI/15T,long,?,SZ_TAXI/15T/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
SZ_TAXI/H,short,?,SZ_TAXI/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_daily,short,?,m4_daily/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_hourly,short,?,m4_hourly/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_monthly,short,?,m4_monthly/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_quarterly,short,?,m4_quarterly/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_weekly,short,?,m4_weekly/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
m4_yearly,short,?,m4_yearly/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
M_DENSE/D,short,?,M_DENSE/D/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
M_DENSE/H,short,?,M_DENSE/H/?/short,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
M_DENSE/H,medium,?,M_DENSE/H/?/medium,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
M_DENSE/H,long,?,M_DENSE/H/?/long,MeanWeightedSumQuantileLoss.__init__() missing 1 required positional argument: 'quantile_levels'
