dataset,model,eval_metrics/MASE[0.5],eval_metrics/MAE[0.5],eval_metrics/MSE[mean],eval_metrics/mean_weighted_sum_quantile_loss
bitbrains_rnd/H/short,official_moirai2_lb,5.85599654876975,204.55403115809216,2341176.24994672,0.6964795915528291
bizitobs_application/10S/short,official_moirai2_lb,1.4386246671458285,406.2403125,621851.5911111111,0.013006277116897726
bizitobs_application/10S/medium,official_moirai2_lb,2.478975442899435,1043.5817708333334,3613374.2933333335,0.0369183539870868
bizitobs_application/10S/long,official_moirai2_lb,3.4278932978200416,1533.4086111111112,6483073.137777777,0.05645419155206907
bizitobs_l2c/5T/short,official_moirai2_lb,0.2905579105369027,2.863664027622768,20.624032738095238,0.08443012539856766
bizitobs_l2c/5T/medium,official_moirai2_lb,0.536013623647773,5.343154429740646,77.68476828231293,0.26063268830948044
bizitobs_l2c/5T/long,official_moirai2_lb,0.579922302210701,5.707359871031746,85.39196428571428,0.30009693368172274
bizitobs_l2c/H/short,official_moirai2_lb,0.5027103651840652,5.013019864521329,67.85011315724206,0.2346699238593971
bizitobs_l2c/H/medium,official_moirai2_lb,0.5085751328244067,5.0403419131324405,73.60548735119048,0.27381496917412856
bizitobs_l2c/H/long,official_moirai2_lb,0.6107828714871352,5.755020771329365,99.56887400793651,0.3212907765547484
bizitobs_service/10S/short,official_moirai2_lb,0.8738541232855651,22.42991732804233,4797.990052910053,0.013554371254078344
bizitobs_service/10S/medium,official_moirai2_lb,1.1319840423005978,49.912529761904764,56963.73841269841,0.03391871440574268
bizitobs_service/10S/long,official_moirai2_lb,1.371226379262386,76.06693121693122,128119.7782010582,0.05389586830232915
car_parts/M/short,official_moirai2_lb,0.8265859812656313,0.4522476865267459,1.3793753609645252,0.9362376936552523
covid_deaths/D/short,official_moirai2_lb,36.95806584297351,90.9998903508772,252106.02506265664,0.02807792109254991
electricity/15T/short,official_moirai2_lb,0.8698200874181088,46.91074346318975,126713.40628941442,0.07707162889547975
electricity/15T/medium,official_moirai2_lb,0.8413034665876566,55.668057995495495,283337.9475157658,0.07995455958926803
electricity/15T/long,official_moirai2_lb,0.9070766245601648,63.172493290165164,391376.2239279279,0.08316188544599885
electricity/D/short,official_moirai2_lb,1.3881012980330472,4032.253783783784,1151698851.1573334,0.05280723935763474
electricity/H/short,official_moirai2_lb,0.8868864421059303,166.17814224380632,1653467.3022522524,0.06451847200326924
electricity/H/medium,official_moirai2_lb,1.084254552103139,248.11865568693693,6361896.614774775,0.08039853669674706
electricity/H/long,official_moirai2_lb,1.2621600140250622,291.53752552552555,9811663.752072072,0.0974864109303663
electricity/W/short,official_moirai2_lb,1.5794271356302612,30834.236036036036,53690649730.9982,0.053672058587390596
ett1/15T/short,official_moirai2_lb,0.6870396828368154,1.0790266491117932,5.021040271577381,0.16013204961030572
ett1/15T/medium,official_moirai2_lb,1.0389811948551335,1.665350632440476,10.665780009920635,0.26049873552914743
ett1/15T/long,official_moirai2_lb,1.0669130129938296,1.6781684027777777,10.191858258928571,0.2684479081028032
ett1/D/short,official_moirai2_lb,1.7477439637008962,142.25716765873017,45395.752380952385,0.28650546397707033
ett1/H/short,official_moirai2_lb,0.8362465661502778,5.065815080915178,110.48771391369047,0.18513634925586483
ett1/H/medium,official_moirai2_lb,1.3042583171553117,7.205398995535714,167.32998511904762,0.2872617382026824
ett1/H/long,official_moirai2_lb,1.4649948736170155,7.873346560846561,203.1143187830688,0.3230729123760615
ett1/W/short,official_moirai2_lb,1.4887369875703378,834.5147181919643,1070556.9285714286,0.24884350025341956
ett2/15T/short,official_moirai2_lb,0.7664317337712695,1.754954310825893,8.050238327752977,0.06601111604714743
ett2/15T/medium,official_moirai2_lb,0.9195600579662848,2.208866257440476,12.7621875,0.09786622112975728
ett2/15T/long,official_moirai2_lb,0.9591165217739608,2.2793629092261907,13.122857142857143,0.10234039967333229
ett2/D/short,official_moirai2_lb,1.3028600262364123,200.43377976190476,112720.8126984127,0.09300631458201229
ett2/H/short,official_moirai2_lb,0.7354120110803807,6.386733863467262,111.35824032738095,0.06421768515847597
ett2/H/medium,official_moirai2_lb,1.0852833091791527,10.055752418154762,253.32734375,0.11071720017464132
ett2/H/long,official_moirai2_lb,1.0515316045027723,9.416283275462963,237.56210317460318,0.10860944569207916
ett2/W/short,official_moirai2_lb,0.8076348283410066,1220.6821986607142,3018818.285714286,0.08512651708651828
hierarchical_sales/D/short,official_moirai2_lb,0.7468262371384452,2.312029522142414,29.479717858619264,0.5757483408337088
hierarchical_sales/W/short,official_moirai2_lb,0.7380942351112151,9.145384707693326,479.56349311440675,0.3520503993117288
hospital/M/short,official_moirai2_lb,0.7649638002955679,17.830529694969577,2882.4044980443286,0.051829638818079254
