dataset,term,frequency,config_name,error
ett1/15T,medium,?,ett1/15T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
ett1/15T,long,?,ett1/15T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
ett1/D,short,?,ett1/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
ett1/H,short,?,ett1/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
ett1/H,medium,?,ett1/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
ett1/H,long,?,ett1/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
ett1/W,short,?,ett1/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
ett2/15T,short,?,ett2/15T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
ett2/15T,medium,?,ett2/15T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
ett2/15T,long,?,ett2/15T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
ett2/D,short,?,ett2/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
ett2/H,short,?,ett2/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
ett2/H,medium,?,ett2/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
ett2/H,long,?,ett2/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
ett2/W,short,?,ett2/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
solar/10T,short,?,solar/10T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
solar/10T,medium,?,solar/10T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
solar/10T,long,?,solar/10T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
solar/D,short,?,solar/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
solar/H,short,?,solar/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
solar/H,medium,?,solar/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
solar/H,long,?,solar/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
solar/W,short,?,solar/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/10T,short,?,jena_weather/10T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/10T,medium,?,jena_weather/10T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/10T,long,?,jena_weather/10T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/D,short,?,jena_weather/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/H,short,?,jena_weather/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/H,medium,?,jena_weather/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
jena_weather/H,long,?,jena_weather/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
kdd_cup_2018_with_missing/D,short,?,kdd_cup_2018_with_missing/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
kdd_cup_2018_with_missing/H,short,?,kdd_cup_2018_with_missing/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
kdd_cup_2018_with_missing/H,medium,?,kdd_cup_2018_with_missing/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
kdd_cup_2018_with_missing/H,long,?,kdd_cup_2018_with_missing/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
temperature_rain_with_missing,short,?,temperature_rain_with_missing/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
saugeenday/D,short,?,saugeenday/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
saugeenday/M,short,?,saugeenday/M/?/short,"The forecast_array (shape=(12, 9) should have the same length as the forecast_keys (len=9)."
saugeenday/W,short,?,saugeenday/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
us_births/D,short,?,us_births/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
us_births/M,short,?,us_births/M/?/short,"The forecast_array (shape=(12, 9) should have the same length as the forecast_keys (len=9)."
us_births/W,short,?,us_births/W/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/5T,short,?,LOOP_SEATTLE/5T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/5T,medium,?,LOOP_SEATTLE/5T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/5T,long,?,LOOP_SEATTLE/5T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/D,short,?,LOOP_SEATTLE/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/H,short,?,LOOP_SEATTLE/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/H,medium,?,LOOP_SEATTLE/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
LOOP_SEATTLE/H,long,?,LOOP_SEATTLE/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
SZ_TAXI/15T,short,?,SZ_TAXI/15T/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
SZ_TAXI/15T,medium,?,SZ_TAXI/15T/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
SZ_TAXI/15T,long,?,SZ_TAXI/15T/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
SZ_TAXI/H,short,?,SZ_TAXI/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
m4_daily,short,?,m4_daily/?/short,"The forecast_array (shape=(14, 9) should have the same length as the forecast_keys (len=9)."
m4_hourly,short,?,m4_hourly/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
m4_monthly,short,?,m4_monthly/?/short,"The forecast_array (shape=(18, 9) should have the same length as the forecast_keys (len=9)."
m4_quarterly,short,?,m4_quarterly/?/short,"The forecast_array (shape=(8, 9) should have the same length as the forecast_keys (len=9)."
m4_weekly,short,?,m4_weekly/?/short,"The forecast_array (shape=(13, 9) should have the same length as the forecast_keys (len=9)."
m4_yearly,short,?,m4_yearly/?/short,"The forecast_array (shape=(6, 9) should have the same length as the forecast_keys (len=9)."
M_DENSE/D,short,?,M_DENSE/D/?/short,"The forecast_array (shape=(30, 9) should have the same length as the forecast_keys (len=9)."
M_DENSE/H,short,?,M_DENSE/H/?/short,"The forecast_array (shape=(48, 9) should have the same length as the forecast_keys (len=9)."
M_DENSE/H,medium,?,M_DENSE/H/?/medium,"The forecast_array (shape=(480, 9) should have the same length as the forecast_keys (len=9)."
M_DENSE/H,long,?,M_DENSE/H/?/long,"The forecast_array (shape=(720, 9) should have the same length as the forecast_keys (len=9)."
